Question,Answer
How many years of work experience do you have with Commercial Real Estate?,15
How many years of urn:li:industry:1 experience do you currently have?,0
How many years of work experience do you have with Commodities?,15
City,
How many years of work experience do you have with Real Estate?,5
How many years of work experience do you have with Property Management Systems?,5
Company,
How many years of work experience do you have with Canva?,4
State / Province,
Country,
How many years of STRA experience do you currently have?,15
How many years of work experience do you have with Jira?,3
How many years of work experience do you have with Analytical Skills?,15
How many years of urn:li:industry:122 experience do you currently have?,10
